rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,date,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,selfMade_indicator
1575,1900,Fashion & Retail,Guo Zhenyu & family,59.0,China,Kunming,Cosmetics,Fashion & Retail,Canada,True,D,M,Guo,Zhenyu,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Manufacturing,Surjit Kumar Gupta,81.0,India,Delhi,Electrical equipment,Manufacturing,India,False,U,M,Gupta,Surjit Kumar,,4/4/2023 5:01,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,Inherited Wealth
1575,1900,Diversified,Caroline Hagen Kjos,39.0,Switzerland,Wollerau,Conglomerate,Diversified,Norway,False,D,F,Hagen Kjos,Caroline,,4/4/2023 5:01,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,Inherited Wealth
1575,1900,Finance & Investments,Roberto Hernandez Ramirez,81.0,Mexico,Mexico City,"Banking, investments",Finance & Investments,Mexico,True,E,M,Hernandez Ramirez,Roberto,,4/4/2023 5:01,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,Self Made Billionaires
1575,1900,Technology,Reid Hoffman,55.0,United States,Palo Alto,LinkedIn,Technology,United States,True,D,M,Hoffman,Reid,Partner,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Manufacturing,Hu Rongda & family,64.0,China,Jinhua,Chemicals,Manufacturing,China,True,U,M,Hu,Rongda,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Real Estate,"B. Wayne Hughes, Jr.",63.0,United States,Jackson,Storage facilities,Real Estate,United States,False,D,M,Hughes,B. Wayne,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1575,1900,Real Estate,Hui Wing Mau,72.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,D,M,Hui,Wing Mau,,4/4/2023 5:01,127.59498797113072,4.4119486768243785,11731681344673.742,67.54499198717949,102.84241089307169,78.12856570512821,12.501362725450901,43.85124198717949,507454840.43118536,34.93664350171043,10.946222709069213,Self Made Billionaires
1575,1900,Finance & Investments,Scott Kapnick,64.0,United States,Naples,Private equity,Finance & Investments,United States,True,U,M,Kapnick,Scott,Investor,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Finance & Investments,Richard Kayne,77.0,United States,Santa Monica,Investments,Finance & Investments,United States,True,U,M,Kayne,Richard,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Finance & Investments,Dominika Kulczyk,45.0,United Kingdom,London,Diversified,Finance & Investments,Poland,False,U,F,Kulczyk,Dominika,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Inherited Wealth
1575,1900,Finance & Investments,Edward Lampert,60.0,United States,Miami Beach,Sears,Finance & Investments,United States,True,U,M,Lampert,Edward,Founder,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Diversified,Somsri Lamsam,,Thailand,Bangkok,Diversified,Diversified,Thailand,False,N,M,Lamsam,Somsri,,4/4/2023 5:01,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541,Inherited Wealth
1575,1900,Food & Beverage,James Leprino,85.0,United States,Indian Hills,Cheese,Food & Beverage,United States,False,D,M,Leprino,James,Chairman,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1575,1900,Real Estate,David Lichtenstein,61.0,United States,Monsey,Real estate,Real Estate,United States,True,E,M,Lichtenstein,David,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Self Made Billionaires
1575,1900,Real Estate,Lin Dingqiang & family,56.0,China,Beijing,Real estate,Real Estate,Hong Kong,True,E,M,Lin,Dingqiang,,4/4/2023 5:01,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,Self Made Billionaires
1575,1900,Food & Beverage,Sarah MacMillan,69.0,United States,Los Angeles,Cargill,Food & Beverage,United States,False,D,F,MacMillan,Sarah,,4/4/2023 5:01,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,Inherited Wealth
1575,1900,Telecom,Strive Masiyiwa,62.0,United Kingdom,London,Telecom,Telecom,Zimbabwe,True,D,M,Masiyiwa,Strive,,4/4/2023 5:01,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,Self Made Billionaires
